category,user,tweet,time
democrats,SoBeCruzGirl,RT @ramburner1: Democrats Think Their First Amendment Is Different (And Superior) https://t.co/kLErCCa4Cm via @dailycaller,Fri May 19 14:56:42 +0000 2017
democrats,t_sloughter,"RT @OzKaterji: In fact, the FSA forces there are Democrats. The Iranian militias targeted are the highly sectarian jihadists https://t.co/d…",Fri May 19 14:56:41 +0000 2017
democrats,babysgramma,@twpresley @steph93065 No faith in Democrats or Republicans. That's why we elected Trump,Fri May 19 14:56:41 +0000 2017
democrats,Moonlitegirl1,@Opinionista2016 @WayneJ28791698 and so many traditional Kennedy Democrats are voting Republican now they see the left is destroying USA,Fri May 19 14:56:41 +0000 2017
democrats,Irisundergrace,RT @chuckwoolery: Democrats will not be satisfied until they can bring Constitutional loving Patriots to heel and in slave the many by the…,Fri May 19 14:56:35 +0000 2017
democrats,TammyBuckelew,RT @RealKyleMorris: The Democrats need to start caring less about hating Trump and more about loving America. Their job is to work for the…,Fri May 19 14:56:35 +0000 2017
democrats,DubeAnjle,"RT @AmericanLuvSong: @ScottBaio @realDonaldTrump @FBI @seanhannity @KellyannePolls Horrifying, Scott! That's where democrats have brought t…",Fri May 19 14:56:34 +0000 2017
democrats,HI_Michelle27,"RT @kylegriffin1: NBC News: House Dems have smashed fundraising records ahead of midterms—already raising $20M in online contributions
http…",Fri May 19 14:56:34 +0000 2017
democrats,wdsneadpc,"RT @Recode: Democrats are readying an all-out war to stop the FCC from killing net neutrality rules:
https://t.co/shS8yp5i0k",Fri May 19 14:56:33 +0000 2017
democrats,jmansour52,"RT @RebeccaFaussett: DEMOCRATS👈
I WANT EVERYONE OF YOU
TO HAVE
A PSYCH EVAL PLEASE🙏

IT WOULD BE GOOD FOR THE COUNTRY🇺🇸 https://t.co/K8WYec…",Fri May 19 14:56:32 +0000 2017
democrats,DeplorMe,"Do you believe that by constantly obstructing President Trump from doing what he planned, the Democrats are acting in your best interest?",Fri May 19 14:56:32 +0000 2017
democrats,ZenaMorse,"RT @GeorgiaDirtRoad: TRUTH ARROWS 🎯🎯🎯

Democrats Have Definitely Reached Stage 6

INSANITY!!! 🤡😳😂

#LooneyLeft #DeathByDemocrat #Liberalism…",Fri May 19 14:56:32 +0000 2017
democrats,NowThinkAgain,Democrats Republican Liberals Resistance we Must Support OUR #PresidentTrump if not YOU are creating a WEAK Nation… https://t.co/4JQF25l7Gt,Fri May 19 14:56:32 +0000 2017
democrats,722_0908,"RT @GeneLingerfelt: Democrats always hang tough...

Republicans always punk out...",Fri May 19 14:56:31 +0000 2017
