category,user,tweet,time
staff,947RhythmRun,"@ChanelBevis Hi Chanel Unfortunately, we have our staff allocation for the event. Thank you for the offer.",Fri May 19 06:59:02 +0000 2017
staff,pepperboi36,@PortiasVenice it happened already!!! he had a lot of twitch staff in the chat today..awesome,Fri May 19 06:59:02 +0000 2017
staff,mineucgun,RT @BMoon_bee: @joshdcaplan So this was a maximum security area with a president threatened by pro terrorist . So security staff did their…,Fri May 19 06:58:59 +0000 2017
staff,gefbrind,@GranadaReports I didn't know that staff needed training on strking !,Fri May 19 06:58:57 +0000 2017
staff,VredoDodewaard,"RT @GathurstGolf: Top job completed today by the greens staff, all 18 greens have been Vredo over seeded! @ClarkesGathurst @ClarkesGolf htt…",Fri May 19 06:58:56 +0000 2017
staff,ScobbieJames,"@TheScotsman @AlastairDalton East Coast run was using same stock, staff and timetable. User satisfaction same. But… https://t.co/AVDK3sxmss",Fri May 19 06:58:53 +0000 2017
staff,buletinmalaysia,Home Ministry to rid agencies of staff involved in crime https://t.co/Yqn0OOmam5... https://t.co/E2eLKloF2M,Fri May 19 06:58:50 +0000 2017
staff,AngryRemainer,@solange_lebourg @thisismoney The only upside if FoM ended would be if Wetherspoons went bust because they couldn't get the staff,Fri May 19 06:58:48 +0000 2017
staff,ccchingss,Housekeeping staff????,Fri May 19 06:58:46 +0000 2017
staff,freeeeeetz,"RT @allkpop: IU will be working as housekeeping staff at 'Hyori's Bed &amp; Breakfast'!
https://t.co/ffzREhfm5Z https://t.co/Xg44aaXM52",Fri May 19 06:58:44 +0000 2017
staff,decarfi1,lo staff...,Fri May 19 06:58:43 +0000 2017
staff,bill2020,"RT @jasoncarthen: See why the Fortune 500, Universities &amp; Non-profits consistently expose their staff to Dr. Jason’s unique message  https:…",Fri May 19 06:58:41 +0000 2017
staff,ZosteraR,"@SEESJobs @ProjectSeagrass small project funding, but very limited salary, occasional contracts support 1 staff member  for short periods",Fri May 19 06:58:39 +0000 2017
staff,thinkisoy,RT @jiminupdates: When the staff realised the plushie was the same color as Jimin's hair😂 #BTSBBMAs https://t.co/RcWmlq8JaK,Fri May 19 06:58:38 +0000 2017
staff,alanlaw,@felicityhuston @SluggerOToole They already stop and searched western health trust staff who live in donegal and ha… https://t.co/0kuxcKE0Kv,Fri May 19 06:58:37 +0000 2017
staff,skyboy123,"RT @brianklaas: Like a witch hunt where the witch's staff defended the witch &amp; then the witch went on TV, told Lester Holt: ""I am a witch""…",Fri May 19 06:58:35 +0000 2017
staff,FamilyGolfTrump,RT @JackPosobiec: Why is a Never Trumper in charge of hiring staff in the Trump administration? #StopDeStefano  https://t.co/sTfnKTNEbn,Fri May 19 06:58:35 +0000 2017
staff,AFiQahFauzi,RT @melaninsuga: BTS is probably traveling with a small arsenal of staff &amp; security. They've learned by now.,Fri May 19 06:58:34 +0000 2017
staff,SHSKLearning,"RT @CatScutt: Yes - may not always be directly, but for example research as CPD offer might improve staff retention, which has impact in tu…",Fri May 19 06:58:33 +0000 2017
staff,Bornfreeshotl8r,AmaBhungane: Free State IT staff transferred in favour of politically connected company | Daily Maverick https://t.co/jZyOx74krB,Fri May 19 06:58:33 +0000 2017
staff,jelena_bts,"RT @WendyMeli1: asdasdasad OMG!!!😢 They are so cuteee♡
BH really is a big family ㅠㅠ💜💜
BTS's memeber, dancers, staff, producers...ALL and ar…",Fri May 19 06:58:27 +0000 2017
staff,EduBulletinPK,Education dept monitoring unit staff faces job insecurity | ePaper | https://t.co/1oWNzZzALY https://t.co/rkpDnPpiz2 via @dawn_com,Fri May 19 06:58:26 +0000 2017
staff,hutton_mark,RT @jennynangle: @BacupFire #firecadets had a fantastic day @LfrsStc. Great training provided by all staff 😀 massive thanks to all involved…,Fri May 19 06:58:20 +0000 2017
staff,caritas_bizkaia,iamCARITAS: RT CRSnews: CRS staff in #Somalia shares a mother's pain of losing her 4 yr old child due to severe #malnutrition. …,Fri May 19 06:58:13 +0000 2017
staff,trishcullen10,RT @whaeapower: Urgent: Woman + 2 teen girls escape home W/refuge staff. Have left e/thing behind. Need warm clothes sz 14-16. Collect Sund…,Fri May 19 06:58:13 +0000 2017
staff,jamesnoblett74,Connecting through schiphol put on standby.Flight overbooked. Ticket bought weeks ago. Staff attitude disgusting - dreadful service @KLM,Fri May 19 06:58:07 +0000 2017
