category,user,tweet,time
government,Naijadailyfeed,Rivers government shuts down hospital over missing 3-week-old baby https://t.co/U3wWk4xlHD,Sat May 06 04:35:14 +0000 2017
government,kbts1suga,RT @Kaman33yaK: 448. I vote for BTS for #BTSBBMAs Top social artist. Got no faith in the government #BBMAs,Sat May 06 04:35:13 +0000 2017
government,ElizaFernandez9,RT @khanknee: Critical detail. Black people were bombed by the American government. The only U.S. citizens to be bombed throughout history…,Sat May 06 04:35:13 +0000 2017
government,dubbbzi,RT @paul_haine: This Pikachu dancer's costume started to deflate and it looked like the dancer was urgently bundled off by government secur…,Sat May 06 04:35:13 +0000 2017
government,Tuh_mah_ree_oh,RT @paul_haine: This Pikachu dancer's costume started to deflate and it looked like the dancer was urgently bundled off by government secur…,Sat May 06 04:35:12 +0000 2017
government,ashley_mcgowen,"RT @TheMarkRomano: FYI...

If we were actually following our Constitution, the federal government would not be involved in healthcare in an…",Sat May 06 04:35:12 +0000 2017
government,NewIndianXpress,Tamil Nadu government to take over sand distribution https://t.co/oe15CQPmkO https://t.co/X0hYSnLREh,Sat May 06 04:35:12 +0000 2017
government,CodyChatman,RT @paul_haine: This Pikachu dancer's costume started to deflate and it looked like the dancer was urgently bundled off by government secur…,Sat May 06 04:35:12 +0000 2017
government,TVSPRAKASH,"RT @siri_foundation: #Kakinada 6/5/17
Need O+ve blood emergency at Government Hospital,
Contact num 8074717442..",Sat May 06 04:35:12 +0000 2017
government,TavishTyagi,RT @tsheringtobgay: Kudos to Government of India and PM @narendramodi for launch of South Asia Satellite. Thank you for gifting it to all S…,Sat May 06 04:35:11 +0000 2017
government,fufuwasen,RT @paul_haine: This Pikachu dancer's costume started to deflate and it looked like the dancer was urgently bundled off by government secur…,Sat May 06 04:35:10 +0000 2017
government,iLoveCyberSex,Mailmen in Russia now carry revolvers after a recent decision by the government. https://t.co/CwbXhDKhpP #life #selfie #photo,Sat May 06 04:35:10 +0000 2017
government,vinaygu61688445,RT @tsheringtobgay: Kudos to Government of India and PM @narendramodi for launch of South Asia Satellite. Thank you for gifting it to all S…,Sat May 06 04:35:08 +0000 2017
government,M7rks,Only ‘radical’ Government intervention can help solve housing crisis in Leeds and elsewhere https://t.co/S2RvawcX8W,Sat May 06 04:35:08 +0000 2017
government,Rajureddyravul2,@TelanganaCMO we want tet@ after teacher notfication  andhra government  lo anyam gargindhi,Sat May 06 04:35:07 +0000 2017
government,Aries21C,RT @khanknee: Critical detail. Black people were bombed by the American government. The only U.S. citizens to be bombed throughout history…,Sat May 06 04:35:07 +0000 2017
government,izaak_slays,RT @khanknee: Critical detail. Black people were bombed by the American government. The only U.S. citizens to be bombed throughout history…,Sat May 06 04:35:07 +0000 2017
government,suestroud,RT @claysuddaby: With anti-government spokesthingy Jordan Bateman now on the payroll. https://t.co/f5a6wWaLXN,Sat May 06 04:35:07 +0000 2017
government,dieyargh,RT @paul_haine: This Pikachu dancer's costume started to deflate and it looked like the dancer was urgently bundled off by government secur…,Sat May 06 04:35:07 +0000 2017
government,DxDerailed,RT @paul_haine: This Pikachu dancer's costume started to deflate and it looked like the dancer was urgently bundled off by government secur…,Sat May 06 04:35:06 +0000 2017
government,SixthTone,Government ban on #FishFarming in river means farmers had to scramble to sell their fish at a loss https://t.co/Uc5DIJRIke,Sat May 06 04:35:06 +0000 2017
government,gothqueen22,RT @takisiski: ᶜᵃⁿ ᴵ ᵍᵉᵗ ᵘʰʰʰʰʰʰ a different government,Sat May 06 04:35:05 +0000 2017
government,vinceoftexas,"I just might be able to pass my government class, holy shit yes.",Sat May 06 04:35:05 +0000 2017
government,BillionairesNo,"RT @RedTRaccoon: Majority of US government employees disapprove of Donald Trump, poll shows https://t.co/SvbmpWn2VW via @IBTimesUK",Sat May 06 04:35:05 +0000 2017
government,vnuek,(!): Rand Paul Says Obama Admin May Have Spied on His Campaign https://t.co/LhMiAWbecX,Sat May 06 04:35:04 +0000 2017
government,showaheart,RT @australian: The NSW government faces intensified pressure from horse stud owners to ban coalmining near thoroughbred farms https://t.co…,Sat May 06 04:35:04 +0000 2017
