category,user,tweet,time
customer,daisyroachxo,RT @Braddlngo: my customer service voice is actually a different person like i don't even know who that is,Sat Apr 29 16:24:18 +0000 2017
customer,HESpriggs,"@Jenni_Margesson @HelenMintVelvet big sale in store today, £1500 3 outfits - bags, shoes, jewellery! Happy customer https://t.co/vp2vTNf8z6",Sat Apr 29 16:24:18 +0000 2017
customer,JTRathmer,RT @SkySportsBoxing: Even if you are not a Sky TV customer here's how you can watch @AnthonyFJoshua against @Klitschko: https://t.co/ekKW6A…,Sat Apr 29 16:24:17 +0000 2017
customer,lyndonjonmartin,"RT @citrix: ""We simply feel safer with @NetScaler."" Read @TTUHSCEP's customer story. https://t.co/sE1ggY3pGd",Sat Apr 29 16:24:14 +0000 2017
customer,bloodlovepsrm,"RT @nikjmiles: #Volvo new #XC60 mid-size #SUV started #production at Torslanda #plant in #sweden 1st customer car, a T5 Inscription #AWD in…",Sat Apr 29 16:24:12 +0000 2017
customer,SleepInnov,"@BlakeDykstra Yes, you can use it! 👍 If you still have questions, don't hesitate to contact our customer support team at 1-888-999-0499. ^LT",Sat Apr 29 16:24:12 +0000 2017
customer,Hayley_Martian,A customer at work said I had flawless make up today and achieved the first genuine smile of the day,Sat Apr 29 16:24:10 +0000 2017
customer,fredem2k,Before starting a business learn how much it will cost you to serve each new customer,Sat Apr 29 16:24:07 +0000 2017
customer,HighSeasonCo,#Contentmarketing: the sweet spot between your knowledge and your customer's pain point https://t.co/3aG3j7dgFn,Sat Apr 29 16:24:04 +0000 2017
customer,rhinosupport,Two days ago - Is Your Customer Service Department Prepared for Today's Consumers? - Entrepreneur https://t.co/uoyQZrPOH1,Sat Apr 29 16:24:02 +0000 2017
customer,tmj_hou_cstsrv,We're #hiring! Click to apply: Customer Service Representative Medical Center Area - https://t.co/HP43VYVzwj #KellyJobs #KellyServices,Sat Apr 29 16:24:02 +0000 2017
customer,tmforumorg,The 'Orchestrating the Digital Customer Experience' Catalyst is backed by @Verizon &amp; will be presented at #TMFLive.… https://t.co/vsUwGE3l69,Sat Apr 29 16:24:01 +0000 2017
customer,TeaLatvala,"RT @aylovehappiness: Dildo Designer @tealatvala from TEATIAMO: ""My mother was my first customer!"" What a cool mom 💓… https://t.co/aA7VX96YrE",Sat Apr 29 16:24:01 +0000 2017
customer,TejaLux,Happy customer😁 Its 🌞SUNNY SUNDAY🌞 💢FOR SALE TODAY💢 Text 561-510-5119 to place your order.… https://t.co/IkmeyXkeg3,Sat Apr 29 16:24:00 +0000 2017
customer,Conexperience,The latest Customer Experience Trends! https://t.co/CdELwjeeQC Thanks to @LinkedInExpert_ @robertsur #socialmedia #marketing,Sat Apr 29 16:23:56 +0000 2017
customer,BILOSuperSaver,@BradHornback Thank you for bringing this to our attention again. Customer Relations has reached out to,Sat Apr 29 16:23:56 +0000 2017
customer,TonyBodoh,What's the Biggest Driver of Excellent Customer Experiences? https://t.co/PzHcNrRWrR,Sat Apr 29 16:23:49 +0000 2017
customer,XANTAPLUS,"RT @uniqueFeranmi: Hello TwitterNG,
My mama sells pepper n salad ingredients,she supply to hotels and schools, please RT our customer might…",Sat Apr 29 16:23:47 +0000 2017
customer,KSamps35,RT @NextUpReels: Congrats to customer Earl Russell who has just committed to Saint Leo in Florida! 🔥🏀 https://t.co/bGE2L6NS6S,Sat Apr 29 16:23:45 +0000 2017
customer,jennnnnaaaay,RT @ricardojkay: me when a cute customer says thank you https://t.co/QlZ1Iisxsu,Sat Apr 29 16:23:45 +0000 2017
customer,clearaction,"TY @MOpartners Make sure outside-in thinking is more than skin-deep https://t.co/noAhsxPeD3 
#cx #cex https://t.co/WNYU4LzKS8",Sat Apr 29 16:23:29 +0000 2017
customer,HuffinesHyundai,We just received a 5 out of 5 customer rating on DealerRater https://t.co/3EAFtvz4fG,Sat Apr 29 16:23:23 +0000 2017
customer,nunblogger,"Unsatisfied customer had paid €20,000 for the child. https://t.co/6oxm943bJP",Sat Apr 29 16:23:22 +0000 2017
customer,KarenCarrier4,"Brilliant customer service, they have been planning my renewal of vows and entertainment so happy with what the pla… https://t.co/mcRFOVgVBV",Sat Apr 29 16:23:18 +0000 2017
customer,Miasackjei,True esp if you've got an extra difficult customer https://t.co/kpaLP1LAw5,Sat Apr 29 16:23:18 +0000 2017
customer,tmj_chi_sales,"This #job might be a great fit for you: Customer Solutions Project Manager - RFID - https://t.co/y7SbpfO6nb #Sales #Chicago, IL #Hiring",Sat Apr 29 16:23:16 +0000 2017
customer,kyleighhricak,RT @Braddlngo: my customer service voice is actually a different person like i don't even know who that is,Sat Apr 29 16:23:13 +0000 2017
customer,sabrinawhill,@united - Your customer service at DEN rocks! Lynn H. just completely turned around a bad travel day for me. Very helpful and friendly. Thx!,Sat Apr 29 16:23:13 +0000 2017
customer,aragvvin,.@ASUSph And both are crap. And I dont think we have a good customer service here in the Philippines.💔💔💔💔💔💔💔💔💔💔💔,Sat Apr 29 16:23:13 +0000 2017
customer,LollyDoll4,Cute chick from a customer service got fucked https://t.co/PANlsoWPN5 https://t.co/QJcBHYnO7R,Sat Apr 29 16:23:11 +0000 2017
customer,hoezard,RT @ricardojkay: me when a cute customer says thank you https://t.co/QlZ1Iisxsu,Sat Apr 29 16:23:10 +0000 2017
customer,amyyharrisonn_,"@wxrmsmiles It's the other way round, the customer has put their money on the counter",Sat Apr 29 16:23:10 +0000 2017
customer,BpclVikram,"RT @BpclJabalpur: Rapid inspection at customer premises, for Assurance about customer safety.
@BPCLLPG @singharunbpcl @Sureshnair_BPCL @vij…",Sat Apr 29 16:23:06 +0000 2017
customer,MonicaPruett,"RT @WoodArtsUniv: Upto 65% off makes a beautiful client gift, ensures ur #logo stays in front of your customer for years  https://t.co/dv8E…",Sat Apr 29 16:23:06 +0000 2017
customer,Sargamptouches,@RickyRayment hi Ricky just wondered if you would be interested in my business and being a customer,Sat Apr 29 16:23:04 +0000 2017
customer,PMC_Shashank,@VodafoneIN Vodafone customer service is worst,Sat Apr 29 16:22:57 +0000 2017
customer,chlooeparsons,Cannot believe a customer said they have enough handbags to pay off their mortgage HELLO WHERE R YOU'RE PRIORITIES ??????,Sat Apr 29 16:22:57 +0000 2017
customer,tmj_NYS_retail,"We're #hiring! Click to apply: Customer Service Advisor (CSA) - https://t.co/1i899RwjC3 #Retail #manlius, ny #Job… https://t.co/4RdfkwpKHR",Sat Apr 29 16:22:54 +0000 2017
customer,kombuse,"no menus, no soft drinks, only a man, a grill, and his customer. the epitome of being a chef.",Sat Apr 29 16:22:52 +0000 2017
customer,tmj_nya_retail,"This #job might be a great fit for you: Retail Customer Service Associate - https://t.co/vTtcNMAqBe #Retail #SaratogaSprings, NY #Hiring",Sat Apr 29 16:22:51 +0000 2017
customer,73Voevodkin,"RT @nikjmiles: #Volvo new #XC60 mid-size #SUV started #production at Torslanda #plant in #sweden 1st customer car, a T5 Inscription #AWD in…",Sat Apr 29 16:22:50 +0000 2017
customer,Go_NYC1,"@SamsungMobile YOU GUYS SUCK. 
F Customer Service
F Product Information 
F Promotional Offers
another F for customer service 2 hour hold",Sat Apr 29 16:22:48 +0000 2017
